"host_display_name","class","date","description","device_id","device_name","driver_key","image","inf","manufacturer","provider","service","service_key","signed","version"
"DC","SYSTEM","1150848000","UMBus Root Bus Enumerator","ROOT\\UMBUS\\0000","UMBus Root Bus Enumerator","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0001","C:\\Windows\\system32\\drivers\\umbus.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\umbus.inf_amd64_c58f15a25899cb22\\umbus.inf","Microsoft","Microsoft","umbus","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\umbus","1","10.0.14393.0"
"DC","SYSTEM","1150848000","UMBus Enumerator","UMB\\UMB\\1&841921D&0&TERMINPUT_BUS","UMBus Enumerator","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0018","C:\\Windows\\system32\\drivers\\umbus.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\umbus.inf_amd64_c58f15a25899cb22\\umbus.inf","Microsoft","Microsoft","umbus","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\umbus","1","10.0.14393.0"
"DC","COMPUTER","1150848000","ACPI x64-based PC","ROOT\\ACPI_HAL\\0000","ACPI x64-based PC","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e966-e325-11ce-bfc1-08002be10318}\\0000","","C:\\Windows\\System32\\DriverStore\\FileRepository\\hal.inf_amd64_e934b32a85af7e89\\hal.inf","(Standard computers)","Microsoft","\\Driver\\ACPI_HAL","","1","10.0.14393.0"
"DC","SYSTEM","1150848000","Microsoft ACPI-Compliant System","ACPI_HAL\\PNP0C08\\0","Microsoft ACPI-Compliant System","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0005","C:\\Windows\\system32\\drivers\\acpi.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\acpi.inf_amd64_39f3c12d634eff79\\acpi.inf","Microsoft","Microsoft","ACPI","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\ACPI","1","10.0.14393.2155"
"DC","SYSTEM","1150848000","PCI Bus","ACPI\\PNP0A03\\0","PCI Bus","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0006","C:\\Windows\\system32\\drivers\\pci.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\pci.inf_amd64_6deb63c7aaf569b8\\pci.inf","(Standard system devices)","Microsoft","pci","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\pci","1","10.0.14393.594"
"DC","SYSTEM","1150848000","CPU to PCI Bridge","PCI\\VEN_8086&DEV_1237&SUBSYS_00000000&REV_02\\3&267A616A&0&00","CPU to PCI Bridge","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0008","","C:\\Windows\\System32\\DriverStore\\FileRepository\\machine.inf_amd64_d6a9c3662fbf8580\\machine.inf","Intel","Microsoft","","","1","10.0.14393.2155"
"DC","SYSTEM","1150848000","PCI to ISA Bridge","PCI\\VEN_8086&DEV_7000&SUBSYS_00000000&REV_00\\3&267A616A&0&08","PCI to ISA Bridge","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0009","C:\\Windows\\system32\\drivers\\msisadrv.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\machine.inf_amd64_d6a9c3662fbf8580\\machine.inf","Intel","Microsoft","msisadrv","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\msisadrv","1","10.0.14393.2155"
"DC","KEYBOARD","1150848000","Standard PS/2 Keyboard","ACPI\\PNP0303\\4&1D401FB5&0","Standard PS/2 Keyboard","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e96b-e325-11ce-bfc1-08002be10318}\\0000","C:\\Windows\\system32\\drivers\\i8042prt.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\keyboard.inf_amd64_fde65065f51e7459\\keyboard.inf","(Standard keyboards)","Microsoft","i8042prt","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\i8042prt","1","10.0.14393.206"
"DC","SYSTEM","1150848000","Direct memory access controller","ACPI\\PNP0200\\4&1D401FB5&0","Direct memory access controller","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0010","","C:\\Windows\\System32\\DriverStore\\FileRepository\\machine.inf_amd64_d6a9c3662fbf8580\\machine.inf","(Standard system devices)","Microsoft","","","1","10.0.14393.2155"
"DC","MOUSE","1150848000","Microsoft PS/2 Mouse","ACPI\\PNP0F03\\4&1D401FB5&0","Microsoft PS/2 Mouse","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e96f-e325-11ce-bfc1-08002be10318}\\0000","C:\\Windows\\system32\\drivers\\i8042prt.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\msmouse.inf_amd64_c3ba91bdcd1891b7\\msmouse.inf","Microsoft","Microsoft","i8042prt","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\i8042prt","1","10.0.14393.0"
"DC","SYSTEM","1150848000","System timer","ACPI\\PNP0100\\4&1D401FB5&0","System timer","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0011","","C:\\Windows\\System32\\DriverStore\\FileRepository\\machine.inf_amd64_d6a9c3662fbf8580\\machine.inf","(Standard system devices)","Microsoft","","","1","10.0.14393.2155"
"DC","SYSTEM","1150848000","Programmable interrupt controller","ACPI\\PNP0000\\4&1D401FB5&0","Programmable interrupt controller","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0012","","C:\\Windows\\System32\\DriverStore\\FileRepository\\machine.inf_amd64_d6a9c3662fbf8580\\machine.inf","(Standard system devices)","Microsoft","","","1","10.0.14393.2155"
"DC","HDC","1150848000","Intel(R) 82371AB/EB PCI Bus Master IDE Controller","PCI\\VEN_8086&DEV_7111&SUBSYS_00000000&REV_01\\3&267A616A&0&09","Intel(R) 82371AB/EB PCI Bus Master IDE Controller","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e96a-e325-11ce-bfc1-08002be10318}\\0000","C:\\Windows\\system32\\drivers\\intelide.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\mshdc.inf_amd64_f731b737c865ebdf\\mshdc.inf","Intel","Microsoft","intelide","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\intelide","1","10.0.14393.2068"
"DC","HDC","1150848000","IDE Channel","PCIIDE\\IDECHANNEL\\4&2F42C713&0&0","IDE Channel","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e96a-e325-11ce-bfc1-08002be10318}\\0001","C:\\Windows\\system32\\drivers\\atapi.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\mshdc.inf_amd64_f731b737c865ebdf\\mshdc.inf","(Standard IDE ATA/ATAPI controllers)","Microsoft","atapi","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\atapi","1","10.0.14393.2068"
"DC","DISKDRIVE","1150848000","Disk drive","IDE\\DISKVBOX_HARDDISK___________________________1.0_____\\5&394C0AD3&0&0.0.0","Disk drive","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e967-e325-11ce-bfc1-08002be10318}\\0000","C:\\Windows\\system32\\drivers\\disk.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\disk.inf_amd64_a4ec3ed867b23b37\\disk.inf","(Standard disk drives)","Microsoft","disk","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\disk","1","10.0.14393.1613"
"DC","HDC","1150848000","IDE Channel","PCIIDE\\IDECHANNEL\\4&2F42C713&0&1","IDE Channel","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e96a-e325-11ce-bfc1-08002be10318}\\0002","C:\\Windows\\system32\\drivers\\atapi.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\mshdc.inf_amd64_f731b737c865ebdf\\mshdc.inf","(Standard IDE ATA/ATAPI controllers)","Microsoft","atapi","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\atapi","1","10.0.14393.2068"
"DC","DISKDRIVE","1150848000","Disk drive","IDE\\DISKVBOX_HARDDISK___________________________1.0_____\\5&106AF171&0&1.0.0","Disk drive","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e967-e325-11ce-bfc1-08002be10318}\\0002","C:\\Windows\\system32\\drivers\\disk.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\disk.inf_amd64_a4ec3ed867b23b37\\disk.inf","(Standard disk drives)","Microsoft","disk","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\disk","1","10.0.14393.1613"
"DC","DISPLAY","1627430400","VirtualBox Graphics Adapter (WDDM)","PCI\\VEN_80EE&DEV_BEEF&SUBSYS_00000000&REV_00\\3&267A616A&0&10","VirtualBox Graphics Adapter (WDDM)","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e968-e325-11ce-bfc1-08002be10318}\\0000","C:\\Windows\\system32\\drivers\\vboxwddm.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\vboxwddm.inf_amd64_ec8cc94ff85cc587\\vboxwddm.inf","Oracle Corporation","Oracle Corporation","VBoxWddm","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\VBoxWddm","0","6.1.26.45957"
"DC","MONITOR","1150848000","Generic Non-PnP Monitor","DISPLAY\\DEFAULT_MONITOR\\4&2ABFAA30&0&UID0","Generic Non-PnP Monitor","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e96e-e325-11ce-bfc1-08002be10318}\\0001","C:\\Windows\\system32\\drivers\\monitor.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\monitor.inf_amd64_c50c5fb00e368b98\\monitor.inf","(Standard monitor types)","Microsoft","monitor","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\monitor","1","10.0.14393.0"
"DC","SYSTEM","1627430400","VirtualBox Guest Device","PCI\\VEN_80EE&DEV_CAFE&SUBSYS_00000000&REV_00\\3&267A616A&0&20","VirtualBox Guest Device","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0019","C:\\Windows\\system32\\drivers\\vboxguest.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\vboxguest.inf_amd64_586a9b59c801cc52\\vboxguest.inf","Oracle Corporation","Oracle Corporation","VBoxGuest","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\VBoxGuest","0","6.1.26.45957"
"DC","NET","1269302400","Intel(R) PRO/1000 MT Network Connection","PCI\\VEN_8086&DEV_100F&SUBSYS_075015AD&REV_02\\3&267A616A&0&40","Intel(R) PRO/1000 MT Network Connection","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e972-e325-11ce-bfc1-08002be10318}\\0005","C:\\Windows\\system32\\drivers\\e1g6032e.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\nete1g3e.inf_amd64_9c4d966af5423efc\\nete1g3e.inf","Intel","Microsoft","E1G60","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\E1G60","1","8.4.13.0"
"DC","NET","1269302400","Intel(R) PRO/1000 MT Network Connection","PCI\\VEN_8086&DEV_100F&SUBSYS_075015AD&REV_02\\3&267A616A&0&88","Intel(R) PRO/1000 MT Network Connection","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e972-e325-11ce-bfc1-08002be10318}\\0004","C:\\Windows\\system32\\drivers\\e1g6032e.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\nete1g3e.inf_amd64_9c4d966af5423efc\\nete1g3e.inf","Intel","Microsoft","E1G60","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\E1G60","1","8.4.13.0"
"DC","BATTERY","1150848000","Microsoft ACPI-Compliant Control Method Battery","ACPI\\PNP0C0A\\0","Microsoft ACPI-Compliant Control Method Battery","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{72631e54-78a4-11d0-bcf7-00aa00b7b32a}\\0001","C:\\Windows\\system32\\drivers\\cmbatt.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\cmbatt.inf_amd64_811ce4ec12153c7a\\cmbatt.inf","Microsoft","Microsoft","CmBatt","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\CmBatt","1","10.0.14393.0"
"DC","BATTERY","1150848000","Microsoft AC Adapter","ACPI\\ACPI0003\\0","Microsoft AC Adapter","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{72631e54-78a4-11d0-bcf7-00aa00b7b32a}\\0000","C:\\Windows\\system32\\drivers\\cmbatt.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\cmbatt.inf_amd64_811ce4ec12153c7a\\cmbatt.inf","Microsoft","Microsoft","CmBatt","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\CmBatt","1","10.0.14393.0"
"DC","PROCESSOR","1240272000","Intel Processor","ACPI\\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_142_-_INTEL(R)_CORE(TM)_I7-8565U_CPU_@_1.80GHZ\\_0","Intel Processor","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{50127dc3-0f36-415e-a6cc-4cb3be910b65}\\0004","C:\\Windows\\system32\\drivers\\intelppm.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\cpu.inf_amd64_29a4e14e1dc33925\\cpu.inf","Intel","Microsoft","intelppm","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\intelppm","1","10.0.14393.2248"
